min_ratings,n_factors,n_epochs,trainset,average_error
2,5,9,"('cols', 6)",1.3334955216515214
2,5,10,"('random', 0.9)",1.3656287853172218
2,5,10,"('random', 0.8)",1.4170257560748272
2,5,10,"('random', 0.7)",1.4140477204518447
2,5,10,"('random', 0.6)",1.4031842334099667
2,5,10,"('rows', 2)",1.3127511294229064
2,5,10,"('rows', 4)",1.2116513834640572
2,5,10,"('rows', 6)",1.3949725625689808
2,5,10,"('cols', 2)",1.2273903454831225
2,5,10,"('cols', 4)",1.3456462204754898
2,5,10,"('cols', 6)",1.3353319284175706
2,10,3,"('random', 0.9)",1.3315629282434251
2,10,3,"('random', 0.8)",1.3935955645978158
2,10,3,"('random', 0.7)",1.3714086859115078
2,10,3,"('random', 0.6)",1.354187170451631
2,10,3,"('rows', 2)",1.3057627990295109
2,10,3,"('rows', 4)",1.2155851493370051
2,10,3,"('rows', 6)",1.3884080825224734
2,10,3,"('cols', 2)",1.2223389429418774
2,10,3,"('cols', 4)",1.3175483705771536
2,10,3,"('cols', 6)",1.321294232898308
2,10,4,"('random', 0.9)",1.3299801627357921
2,10,4,"('random', 0.8)",1.3891442190220105
2,10,4,"('random', 0.7)",1.373108925653382
2,10,4,"('random', 0.6)",1.357520424173112
