min_ratings,n_factors,n_epochs,trainset,average_error
5,5,5,"('rows', 2)",1.3058976168175238
5,5,5,"('rows', 4)",1.209346371096441
5,5,5,"('rows', 6)",1.3860939281522258
5,5,5,"('cols', 2)",1.222758103245785
5,5,5,"('cols', 4)",1.3283259524046684
5,5,5,"('cols', 6)",1.3246437950088765
5,5,10,"('random', 0.9)",1.3656287853172218
5,5,10,"('random', 0.8)",1.4170257560748272
5,5,10,"('random', 0.7)",1.4140477204518447
5,5,10,"('random', 0.6)",1.402071125434096
5,5,10,"('rows', 2)",1.3127511294229064
5,5,10,"('rows', 4)",1.2116513834640572
5,5,10,"('rows', 6)",1.3949725625689808
5,5,10,"('cols', 2)",1.2273903454831225
5,5,10,"('cols', 4)",1.3456462204754898
5,5,10,"('cols', 6)",1.3353319284175706
5,5,15,"('random', 0.9)",1.4610121247503904
5,5,15,"('random', 0.8)",1.4805319744433252
5,5,15,"('random', 0.7)",1.4671912074324365
5,5,15,"('random', 0.6)",1.457626755702348
5,5,15,"('rows', 2)",1.3150734225345286
5,5,15,"('rows', 4)",1.2152275096887133
5,5,15,"('rows', 6)",1.404141138467101
5,5,15,"('cols', 2)",1.2237624087206533
5,5,15,"('cols', 4)",1.353047102237573
5,5,15,"('cols', 6)",1.3403810692106646
5,5,20,"('random', 0.9)",1.539111281145902
5,5,20,"('random', 0.8)",1.5483469548912998
5,5,20,"('random', 0.7)",1.5389036264679088
5,5,20,"('random', 0.6)",1.5249292948010444
5,5,20,"('rows', 2)",1.3141599235918513
5,5,20,"('rows', 4)",1.2159548519934662
5,5,20,"('rows', 6)",1.4081007996195816
5,5,20,"('cols', 2)",1.2190065959767689
5,5,20,"('cols', 4)",1.3538844610374614
5,5,20,"('cols', 6)",1.339660985500806
5,5,25,"('random', 0.9)",1.5742961513972835
5,5,25,"('random', 0.8)",1.587947249541366
5,5,25,"('random', 0.7)",1.576618239846888
5,5,25,"('random', 0.6)",1.5800815617943442
5,5,25,"('rows', 2)",1.3147387833808077
5,5,25,"('rows', 4)",1.2153811110567434
5,5,25,"('rows', 6)",1.4090070209782242
5,5,25,"('cols', 2)",1.2179862274204403
5,5,25,"('cols', 4)",1.3514258507329933
5,5,25,"('cols', 6)",1.3367731481314131
5,5,30,"('random', 0.9)",1.6051563409779657
5,5,30,"('random', 0.8)",1.616268743278788
5,5,30,"('random', 0.7)",1.598002468205223
5,5,30,"('random', 0.6)",1.623644020283676
5,5,30,"('rows', 2)",1.3169389521558876
5,5,30,"('rows', 4)",1.2153186396373623
5,5,30,"('rows', 6)",1.4092716956731592
5,5,30,"('cols', 2)",1.2189369426488876
5,5,30,"('cols', 4)",1.348300686372987
5,5,30,"('cols', 6)",1.334215359126819
5,10,5,"('random', 0.9)",1.331226817338218
5,10,5,"('random', 0.8)",1.387600968389532
5,10,5,"('random', 0.7)",1.3768941046566174
5,10,5,"('random', 0.6)",1.3631723075188618
5,10,5,"('rows', 2)",1.301187132187738
5,10,5,"('rows', 4)",1.2078644746006277
5,10,5,"('rows', 6)",1.384970308260958
5,10,5,"('cols', 2)",1.2274240227565147
5,10,5,"('cols', 4)",1.3249449306559447
5,10,5,"('cols', 6)",1.3237947812944342
5,10,10,"('random', 0.9)",1.3574334337321108
5,10,10,"('random', 0.8)",1.4019206339904533
5,10,10,"('random', 0.7)",1.4038970605816707
5,10,10,"('random', 0.6)",1.404902361506361
5,10,10,"('rows', 2)",1.30004421248865
5,10,10,"('rows', 4)",1.2066579010353256
5,10,10,"('rows', 6)",1.3904528464643813
5,10,10,"('cols', 2)",1.237637451677773
5,10,10,"('cols', 4)",1.3404383628911118
5,10,10,"('cols', 6)",1.3331060783392221
5,10,15,"('random', 0.9)",1.449251086813468
5,10,15,"('random', 0.8)",1.4785959754151143
5,10,15,"('random', 0.7)",1.45040189509555
5,10,15,"('random', 0.6)",1.4678283813779824
5,10,15,"('rows', 2)",1.3006844812565113
5,10,15,"('rows', 4)",1.2082581878865257
5,10,15,"('rows', 6)",1.3954081371898173
5,10,15,"('cols', 2)",1.2380655741829851
5,10,15,"('cols', 4)",1.3456000919016382
5,10,15,"('cols', 6)",1.3352311851301002
5,10,20,"('random', 0.9)",1.5215385526501313
5,10,20,"('random', 0.8)",1.5362349695561566
5,10,20,"('random', 0.7)",1.5119541310150808
5,10,20,"('random', 0.6)",1.529310980306031
5,10,20,"('rows', 2)",1.3036278213200487
5,10,20,"('rows', 4)",1.209407228760331
5,10,20,"('rows', 6)",1.3973131127145078
5,10,20,"('cols', 2)",1.2353184491432707
5,10,20,"('cols', 4)",1.344989173835816
5,10,20,"('cols', 6)",1.333632488995266
5,10,25,"('random', 0.9)",1.5474216192150607
5,10,25,"('random', 0.8)",1.5630341939912225
5,10,25,"('random', 0.7)",1.550532536471412
5,10,25,"('random', 0.6)",1.5812488746945919
5,10,25,"('rows', 2)",1.3074325952335533
5,10,25,"('rows', 4)",1.2109455198291728
5,10,25,"('rows', 6)",1.3984263944128432
5,10,25,"('cols', 2)",1.2348768509008465
5,10,25,"('cols', 4)",1.342092953608893
5,10,25,"('cols', 6)",1.3320805973039926
5,10,30,"('random', 0.9)",1.5790855304989895
5,10,30,"('random', 0.8)",1.5854503870500958
5,10,30,"('random', 0.7)",1.5756448495133242
5,10,30,"('random', 0.6)",1.620029232642624
5,10,30,"('rows', 2)",1.3110717959138665
5,10,30,"('rows', 4)",1.2133248267551286
5,10,30,"('rows', 6)",1.3995843393679195
5,10,30,"('cols', 2)",1.2356595937828214
5,10,30,"('cols', 4)",1.33895213322118
5,10,30,"('cols', 6)",1.3310238791964601
5,20,5,"('random', 0.9)",1.35918762530222
5,20,5,"('random', 0.8)",1.3975487812521283
